City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
634,Kismayo,SO,83.89,overcast clouds,-0.3582,42.5454,Agan-Hotel
639,Cabedelo,BR,79.47,broken clouds,-6.9811,-34.8339,Hotel Pigalle
643,Imbituba,BR,71.49,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
650,Ubatuba,BR,73.26,scattered clouds,-23.4339,-45.0711,Hotel Coquille
654,Koumra,TD,77.97,scattered clouds,8.9126,17.5539,Yamtoide house koumra
656,Lodja,CD,70.2,moderate rain,-3.4833,23.4333,
659,Moerai,PF,77.86,overcast clouds,-22.4333,-151.3333,Le Manotel
660,Kawalu,ID,82.89,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
661,Kapoeta,SS,84.88,broken clouds,4.7717,33.5903,Eastgate Hotel
663,Bourail,NC,83.03,moderate rain,-21.5667,165.4833,Motel Allamanda
665,Denpasar,ID,76.71,thunderstorm with rain,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
666,Isabela,PH,87.85,overcast clouds,6.7085,121.9711,Isawad Resort
667,Luwuk,ID,84.0,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
670,Riberalta,BO,72.66,overcast clouds,-10.9833,-66.1,Hotel Colonial
671,Marawi,PH,76.64,broken clouds,7.9986,124.2928,Derogongan Residence
672,Berbera,SO,80.98,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
673,Tougan,BF,70.47,clear sky,13.0667,-3.0667,Hôtel SMAK
677,Kabalo,CD,72.61,overcast clouds,-6.05,26.9167,
678,Gamboula,CF,71.65,overcast clouds,4.1178,15.1393,
679,Chirawa,IN,71.74,overcast clouds,28.2408,75.6448,poonia sadan
680,Wattegama,LK,83.32,scattered clouds,6.7989,81.4808,
683,Akyab,MM,84.49,overcast clouds,20.15,92.9,Hotel Memory
691,Rock Sound,BS,74.91,clear sky,24.9,-76.2,Rock Sound Club
693,Barra Do Garcas,BR,73.83,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
694,Angoche,MZ,84.67,broken clouds,-16.2325,39.9086,Guest House HESADA
700,Tanete,ID,79.77,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
701,Sinnamary,GF,77.18,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
702,Tezu,IN,81.14,clear sky,27.9167,96.1667,Circuit House
703,Conceicao Do Almeida,BR,72.91,overcast clouds,-12.7794,-39.17,Pousada Caldas e Andrada
