City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
246,Wajir,KE,1.7471,40.0573,76.96,88,75,0.0,light intensity drizzle
247,Ushtobe,KZ,45.2514,77.9838,43.32,29,92,7.34,overcast clouds
248,Grand-Santi,GF,4.25,-54.3833,72.03,100,82,1.9,broken clouds
249,Tabuk,PH,17.4189,121.4443,71.2,91,99,15.52,overcast clouds
250,Cherskiy,RU,68.75,161.3,-16.17,98,100,5.91,light snow
251,Portland,US,45.5234,-122.6762,57.38,88,90,7.0,overcast clouds
252,Cururupu,BR,-1.8283,-44.8683,75.72,91,86,2.51,overcast clouds
253,Kakonko,TZ,-3.2828,30.9642,69.57,83,100,1.43,light rain
254,Poum,NC,-20.2333,164.0167,82.04,76,16,9.06,few clouds
255,Pimentel,PE,-6.8367,-79.9342,64.38,88,72,10.31,broken clouds
256,Mombetsu,JP,44.3525,143.3525,54.86,93,75,17.27,broken clouds
257,Waingapu,ID,-9.6567,120.2641,80.8,76,100,3.49,overcast clouds
258,Alofi,NU,-19.0595,-169.9187,80.49,69,42,14.97,light rain
259,Buraydah,SA,26.326,43.975,52.25,20,51,7.67,broken clouds
260,Ilheus,BR,-14.7889,-39.0494,76.64,92,91,8.75,overcast clouds
261,Fare,PF,-16.7,-151.0167,82.15,73,100,20.67,overcast clouds
262,Pevek,RU,69.7008,170.3133,-12.19,100,100,1.63,overcast clouds
263,Zyryanka,RU,65.75,150.85,-14.64,98,100,7.07,overcast clouds
264,Samarai,PG,-10.6167,150.6667,85.57,74,95,11.21,overcast clouds
265,Tukrah,LY,32.5341,20.5791,61.39,58,91,15.14,overcast clouds
266,Hay River,CA,60.8156,-115.7999,-0.42,78,75,10.36,light snow
267,Oussouye,SN,12.485,-16.5469,71.02,55,9,6.58,clear sky
268,Omboue,GA,-1.5746,9.2618,78.03,88,99,4.7,overcast clouds
269,Ola,RU,59.5833,151.2833,-11.36,91,10,10.6,clear sky
270,Desterro,BR,-7.2906,-37.0939,71.08,82,70,6.67,broken clouds
271,Vostok,RU,46.4856,135.8833,7.03,96,100,16.04,snow
272,Bethlehem,BR,-1.4558,-48.5044,78.84,89,0,8.05,clear sky
273,Ust-Nera,RU,64.5667,143.2,-37.39,98,75,2.75,broken clouds
274,Ulaangom,MN,49.9811,92.0667,16.34,84,45,2.46,scattered clouds
275,Emba,KZ,48.8264,58.1442,41.07,74,100,25.81,overcast clouds
276,Manadhoo,MV,5.7667,73.3833,81.46,78,12,7.45,few clouds
277,Lenger,KZ,42.183,69.8839,49.44,36,0,3.91,clear sky
278,Sidi Ali,DZ,36.0998,0.4206,50.65,78,0,5.19,clear sky
279,Herat,AF,34.5,62.0,58.87,31,0,8.25,clear sky
280,Clearwater,US,27.9659,-82.8001,58.91,77,1,3.44,clear sky
281,Paris,FR,48.8534,2.3488,48.9,96,90,5.01,moderate rain
282,Oranjestad,AW,12.524,-70.027,81.01,77,100,20.69,overcast clouds
283,Porto Walter,BR,-8.2686,-72.7439,71.01,94,98,2.26,overcast clouds
284,Meulaboh,ID,4.1363,96.1285,83.46,66,70,5.41,broken clouds
285,Jalingo,NG,8.8833,11.3667,75.74,24,55,2.39,broken clouds
286,Balkanabat,TM,39.5108,54.3671,75.58,17,43,8.72,scattered clouds
287,Kuytun,RU,54.3419,101.5036,31.19,63,100,18.3,overcast clouds
288,Lavrentiya,RU,65.5833,-171.0,-14.49,87,2,8.28,clear sky
289,Bubaque,GW,11.2833,-15.8333,80.85,66,22,11.99,few clouds
290,Talara,PE,-4.5772,-81.2719,67.05,84,62,12.73,broken clouds
291,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,19.99,68,75,6.71,broken clouds
292,Tasiilaq,GL,65.6145,-37.6368,15.98,85,100,7.83,overcast clouds
293,Ponta Delgada,PT,37.7333,-25.6667,64.51,88,75,9.22,broken clouds
294,Amboise,FR,47.4125,0.9827,50.54,96,90,12.66,moderate rain
295,Porbandar,IN,21.6422,69.6093,75.18,69,75,9.22,haze
296,Biak,ID,-0.9131,122.8766,82.99,68,99,1.74,overcast clouds
297,Richards Bay,ZA,-28.783,32.0377,73.2,72,99,12.03,overcast clouds
298,Terrace Bay,CA,48.7834,-87.1,10.02,79,39,5.86,scattered clouds
299,Mattru,SL,7.6244,-11.8332,73.22,95,20,2.35,few clouds
300,Znamenskoye,RU,57.1281,73.8282,21.58,75,99,10.0,overcast clouds
301,Scarborough,GB,54.2797,-0.4044,45.52,88,98,5.01,overcast clouds
302,Pitimbu,BR,-7.4706,-34.8086,79.39,76,83,6.93,broken clouds
303,Taki,IN,22.5861,88.9214,80.55,33,7,7.2,clear sky
304,San Cristobal,VE,7.7669,-72.225,68.18,90,38,1.59,scattered clouds
305,Grand-Lahou,CI,5.1367,-5.0242,78.76,83,92,4.0,overcast clouds
306,Kabarnet,KE,0.4919,35.743,61.61,58,80,3.09,broken clouds
307,Mehamn,NO,71.0357,27.8492,30.38,80,90,13.8,light shower snow
308,Westport,US,41.1415,-73.3579,42.98,86,90,5.01,overcast clouds
309,Tynda,RU,55.1667,124.7167,0.12,80,99,1.81,overcast clouds
310,Deputatskiy,RU,69.3,139.9,-26.27,96,100,4.9,overcast clouds
311,Anantapur,IN,14.6833,77.6,79.77,64,39,12.06,scattered clouds
312,Kommunar,RU,59.6206,30.39,22.55,91,100,10.65,overcast clouds
313,Eyl,SO,7.9803,49.8164,82.11,45,100,19.1,overcast clouds
314,Cartagena Del Chaira,CO,1.3349,-74.8429,69.48,99,97,1.5,overcast clouds
315,Hervey Bay,AU,-25.2986,152.8535,84.31,81,48,4.0,light rain
316,Pajapan,MX,18.25,-94.7,71.13,89,85,4.38,overcast clouds
317,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.42,86,100,7.23,overcast clouds
318,Isangel,VU,-19.55,169.2667,78.91,89,90,0.0,overcast clouds
319,Kahului,US,20.8947,-156.47,77.85,77,40,9.22,light rain
320,Sao Filipe,CV,14.8961,-24.4956,73.54,70,100,13.94,overcast clouds
321,Mumford,GH,5.2618,-0.759,78.87,82,90,4.23,overcast clouds
322,Takoradi,GH,4.8845,-1.7554,78.98,81,98,3.78,overcast clouds
323,Klyuchi,RU,52.2667,79.1667,23.34,81,5,7.27,clear sky
324,Gizo,SB,-8.103,156.8419,83.32,72,97,6.71,light rain
325,Ratnagiri,IN,16.9833,73.3,78.4,77,100,3.6,overcast clouds
326,Pyskowice,PL,50.4,18.6333,35.78,86,100,3.0,overcast clouds
327,Argir,FO,61.9959,-6.7715,34.77,58,52,20.56,broken clouds
328,Fortuna,US,40.5982,-124.1573,49.98,68,1,5.75,clear sky
329,Sembe,CG,1.6481,14.5806,73.04,88,76,0.72,broken clouds
330,Marfino,RU,55.7028,37.3822,27.09,89,75,11.18,light snow
331,Saint-Joseph,RE,-21.3667,55.6167,81.21,69,89,9.95,overcast clouds
332,Tiznit,MA,29.5833,-9.5,53.49,39,0,4.29,clear sky
333,Grindavik,IS,63.8424,-22.4338,28.87,80,75,6.91,broken clouds
334,Praya,CV,14.9215,-23.5087,72.14,73,20,14.97,few clouds
335,Dhidhdhoo,MV,6.8833,73.1,81.72,78,72,9.44,broken clouds
336,Vicar,ES,36.8316,-2.6427,48.58,65,0,8.23,clear sky
337,Abapo,BO,-18.8333,-63.4667,60.62,80,89,2.24,overcast clouds
338,Colares,PT,38.7992,-9.4469,52.32,72,1,15.01,clear sky
339,Lima,PE,-12.0432,-77.0282,65.89,83,75,12.66,broken clouds
340,Olafsvik,IS,64.8945,-23.7142,29.59,60,76,10.13,broken clouds
341,Clermont,FR,49.5,2.4167,47.84,89,100,24.14,overcast clouds
342,Chancay,PE,-11.5714,-77.2672,67.32,90,96,4.52,overcast clouds
343,Saint George,US,37.1041,-113.5841,55.99,35,1,1.01,clear sky
344,Fort Saint James,CA,54.4333,-124.25,38.03,61,89,16.31,overcast clouds
